2010,,,,,,,,,,,,,
,収集運搬部門費,中間処理部門費,最終処分部門費,,,,,,取扱量（単位：ｔ／年）,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
有害ごみ,12628262 ,0,0,9833851,1114669,23576951,,,有害ごみ,132,―,―,132
合 計※,3909947151 ,6312070323,1012606692,1026554281,1212278297,13473456744,,,合 計,191214,258982,21450,15239
,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1759675406 ,5934003792,307682314,―,861947088,8863308600,,,可燃ごみ,162602,238858,18695,―
不燃ごみ,284040690 ,273463825,19697094,113823743,52014789,743040142,,,不燃ごみ,7070,8054,1197,1137
粗大ごみ,842814699 ,137698399,11031544,63769327,145193647,1200507616,,,粗大ごみ,3882,3742,670,637
資源物（びん）,272780825 ,―,―,395643069,40242757,708666651,,,資源物（びん）,6950,―,―,6950
資源物（缶）,470964744 ,―,―,367478006,48781759,887224509,,,資源物（缶）,2701,―,―,2701
資源物（ペットボトル）,354520207 ,―,―,145231900,29076269,528828376,,,資源物（ペットボトル）,3083,―,―,3083
有害ごみ,18362017 ,―,―,14299742,1900306,34562066,,,有害ごみ,191,―,―,191
合 計※,4003158589 ,6345166016,338410952,1100245787,1179156615,12966137959,,,合 計,186479,250654,20562,14699
,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1809013611 ,5431097382,342977385,―,798492194,8381580572,,,可燃ごみ,159851,235619,18263,―
不燃ごみ,288138649 ,206257595,17970050,126960889,50432249,689759432,,,不燃ごみ,7270,8055,957,1120
粗大ごみ,920146571 ,98547578,9748792,68876090,142381745,1239700776,,,粗大ごみ,3849,3742,519,608
資源物（びん）,268737179 ,―,―,426769298,38641446,734147923,,,資源物（びん）,6734,―,―,6734
資源物（缶）,466910846 ,―,―,381134921,45253198,893298965,,,資源物（缶）,2625,―,―,2625
資源物（ペットボトル）,369559024 ,―,―,145783187,27499557,542841768,,,資源物（ペットボトル）,3160,―,―,3160
生ごみ再資源化,3553200 ,―,―,6420249,532201,10505650,,,生ごみ再資源化,212,―,―,212
剪定枝等再資源化,52111378 ,―,―,87649544,7457886,147218808,,,剪定枝等再資源化,2219,―,―,2219
有害ごみ,19563106 ,―,―,16918545,1946724,38428376,,,有害ごみ,208,―,―,208
合 計,4197733563 ,5735902556,370696227,1260512723,1112637200,12677482269,,,合 計,186129,247416,19739,16886
,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1873524172 ,5351155925,316099511,―,803904859,8344684467,,,可燃ごみ,157025,232588,18461,―
不燃ごみ,294786262 ,235350781,17215731,142639060,56104433,746096267,,,不燃ごみ,7192,8349,1005,1157
粗大ごみ,831517549 ,116316867,10076098,83485146,138380628,1179776289,,,粗大ごみ,4029,3968,588,677
資源物（びん）,265818432 ,―,―,489424172,40508743,795751348,,,資源物（びん）,6507,―,―,6507
資源物（缶）,467128581 ,―,―,432795327,46410998,946334906,,,資源物（缶）,2560,―,―,2560
資源物（ペットボトル）,374609195 ,―,―,184840478,28852015,588301688,,,資源物（ペットボトル）,3130,―,―,3130
剪定枝等再資源化,103351933 ,―,―,181075801,14668546,299096280,,,剪定枝等再資源化,4462,―,―,4462
有害ごみ,20158968 ,―,―,12262279,1672033,34093280,,,有害ごみ,211,―,―,211
合 計,4230895092 ,5702823574,343391340,1526522263,1130502254,12934134523,,,合 計,185116,244905,20055,18704
,,,,,,,,,,,,,
2019,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1890856214 ,5439607634,314044295,―,764026970,8408535114,,,可燃ごみ,158357,233331,17580,―
不燃ごみ,301475869 ,245437024,9034281,161706291,57857728,775511192,,,不燃ごみ,8108,9445,506,1327
粗大ごみ,802257930 ,126555967,5553622,99405481,142457179,1176230180,,,粗大ごみ,4740,4702,311,816
資源物（びん）,266258336 ,―,―,519902683,41707532,827868550,,,資源物（びん）,6299,―,―,6299
資源物（缶）,486776351 ,―,―,463532266,47746968,998055585,,,資源物（缶）,2566,―,―,2566
資源物（ペットボトル）,387191354 ,―,―,188145676,28907029,604244059,,,資源物（ペットボトル）,3126,―,―,3126
剪定枝等再資源化,106784920 ,―,―,242971877,17573056,367329853,,,剪定枝等再資源化,5802,―,―,5802
有害ごみ,18007088 ,―,―,13050946,1560469,32618506,,,有害ごみ,208,―,―,208
合 計,4259608062 ,5811600626,328632198,1688715220,1101836931,13190393037,,,合 計,189206,247478,18396,20145
,,,,,,,,,,,,,
2020,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1973243324 ,5517716961,244628082,―,765764024,8501352392,,,可燃ごみ,160877,224599,16704,―
不燃ごみ,298853162 ,249646950,6201931,127644499,55201659,737548200,,,不燃ごみ,8742,10157,423,1404
粗大ごみ,808826829 ,135057433,3956926,81416963,140598323,1169856473,,,粗大ごみ,5586,5273,270,896
資源物（びん）,274868653 ,―,―,531230647,41472630,847571930,,,資源物（びん）,6637,―,―,6637
資源物（缶）,511550116 ,―,―,497708575,48567846,1057826538,,,資源物（缶）,2743,―,―,2743
資源物（ペットボトル）,399985151 ,―,―,207208155,29219536,636412843,,,資源物（ペットボトル）,3297,―,―,3297
剪定枝等再資源化,111656962 ,―,―,231685696,16522437,359865095,,,剪定枝等再資源化,6387,―,―,6387
有害ごみ,16224661 ,―,―,8366057,1183362,25774080,,,有害ごみ,192,―,―,192
合 計,4395208858 ,5902421344,254786939,1685260593,1098529817,13336207551,,,合 計,194461,240028,17397,21557
,,,,,,,,,,,,,
2021,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,2106801088 ,5467196502,273030962,―,741096999,8588125551,,,可燃ごみ,157917,223103,15433,―
不燃ごみ,301202084 ,232549442,6995170,138589129,54776497,734112322,,,不燃ごみ,7564,8868,395,1246
粗大ごみ,801782619 ,141702581,5067501,100398750,172854863,1221806315,,,粗大ごみ,5493,5202,286,903
資源物（びん）,277337999 ,―,―,517084074,43538931,837961005,,,資源物（びん）,6347,―,―,6347
