ごみ処理に係る経費の実績,,,,,,,,,,,,,,,,,,,種類別ごみ排出量実績,,,,,,,,,,,,,,,,,,,
項  目,,,平成 21,平成 22,平成 23,平成 24,平成 25,平成 26,平成 27,平成 28,平成 29,平成 30,平成 30,令和元,令和２,令和３,令和４,,区  分,,,,年  度,平成 21,平成 22,平成 23,平成 24,平成 25,平成 26,平成 27,平成 28,平成 29,平成 30,平成 30,令和元,令和２,令和３,令和４
,,,,,,,,,,,,,,,,,,,,,集団回収,,ｔ,"7,459","7,412","7,008","6,186","5,522","4,982","4,532","4,447","4,494","5,250","5,250","4,513","3,299","3,098","3,149"
,,,,,,,,,,,,,,,,,,,,,,混雑誌注１),ｔ,－,－,－,－,－,－,－,－,－,－,－,－,228,237,277
,,,,,,,,,,,,,,,,,,,,,,新聞紙,ｔ,"4,030","3,972","3,669","3,253","2,883","2,536","2,329","2,220","2,134","2,076","2,076","1,652","1,027",967,"1,010"
,,,,,,,,,,,,,,,,,,,,,,雑誌・チラシ,ｔ,"3,116","3,107","2,997","2,618","2,330","2,148","1,904","1,881","1,913","2,341","2,341","2,078","1,389","1,259","1,238"
,,,,,,,,,,,,,,,,,,,,,,ダンボール,ｔ,291,311,301,284,280,272,273,305,412,764,764,722,625,596,588
,,,,,,,,,,,,,,,,,,,,,,古繊維,ｔ,8,8,28,17,16,13,13,21,15,49,49,49,22,32,28
,,,,,,,,,,,,,,,,,,,,,,紙パック,ｔ,14,14,13,14,13,13,13,20,20,20,20,10,9,7,7
,,,,,,,,,,,,,,,,,,,,,拠点回収,,ｔ,45,71,65,52,68,112,269,299,434,781,781,"1,101",938,767,743
,,,,,,,,,,,,,,,,,,,,事業系ごみ,,,ｔ,"68,103","66,630","67,862","66,930","69,420","70,078","72,880","70,725","70,228","68,821","68,821","65,867","57,366","58,744","60,740"
,,,,,,,,,,,,,,,,,,,,,燃やすごみ,,ｔ,"51,660","49,692","49,604","50,000","51,324","52,735","54,414","52,921","51,821","51,290","51,290","49,635","42,068","41,970","43,827"
,,,,,,,,,,,,,,,,,,,,,,許可業者収集,ｔ,"50,546","48,862","48,876","49,274","50,566","51,903","53,526","52,085","50,994","50,517","50,517","48,767","41,236","41,178","43,039"
,,,,,,,,,,,,,,,,,,,,,,直接搬入,ｔ,"1,114",830,728,726,758,832,888,836,827,773,773,868,832,792,788
,,,,,,,,,,,,,,,,,,,,,不燃ごみ,,ｔ,"11,106","11,443","11,480","11,432","12,781","13,009","13,429","12,837","13,283","13,158","13,158","12,132","12,691","12,737","12,971"
,,,,,,,,,,,,,,,,,,,,,,許可業者収集,ｔ,"3,910","4,004","4,052","3,851","4,531","4,378","4,293","3,871","3,708","3,462","3,462","3,261","3,150","3,208","3,330"
,,,,,,,,,,,,,,,,,,,,,,直接搬入,ｔ,"7,196","7,439","7,428","7,581","8,250","8,631","9,136","8,966","9,575","9,696","9,696","8,871","9,541","9,529","9,641"
,,,,,,,,,,,,,,,,,,,,,資源ごみ,,ｔ,"5,337","5,495","6,778","5,498","5,315","4,334","5,037","4,967","5,124","4,373","4,373","4,100","2,607","4,037","3,942"
,,,,,,,,,,,,,,,,,,,,,,市処理施設搬入（許可業者収集）,ｔ,8,10,10,10,11,9,10,10,4,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,民間処理施設搬入注２),ｔ,"5,329","5,485","6,768","5,488","5,304","4,325","5,027","4,957","5,120","4,372","4,372","4,100","2,606","4,037","3,942"
,,,,,,,,,,,,,,,,,,,人口 1 人 1 日当たりのごみ排出量,,,,g/人・日,"1,051","1,030","1,041","1,033","1,038","1,031","1,041","1,017","1,016",928,927,919,877,876,876
